Wed Nov 30 03:40:08 2022    output.dat

         3241988 function calls (3236178 primitive calls) in 47.179 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1784    0.004    0.000    0.008    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\ui_appearance_theme.py:148(update_caching)
    29453    0.004    0.000    0.004    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\IA.py:21(<lambda>)
26195/25417    0.004    0.000    0.004    0.000 {built-in method builtins.len}
     1835    0.003    0.000    0.010    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\ntpath.py:77(join)
   667/63    0.003    0.000    0.009    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\sre_compile.py:71(_compile)
      500    0.003    0.000    0.009    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:205(_legacy_cmpkey)
     2303    0.003    0.000    0.003    0.000 {built-in method pygame.mouse.get_pos}
     1568    0.003    0.000    0.012    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\GameMap.py:70(rollDices)
      519    0.003    0.000    0.060    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\Game.py:198(onEvent)
     1784    0.003    0.000    0.005    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\surface_cache.py:44(update)
     1172    0.003    0.000    0.144    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\GameMap.py:119(attackEnemyTerritoryBlitz)
     1791    0.003    0.000    0.003    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\ui_manager.py:556(calculate_scaled_mouse_position)
      838    0.003    0.000    0.007    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:271(__init__)
    10910    0.003    0.000    0.006    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:254(get)
     5361    0.003    0.000    0.004    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\ui_container.py:67(get_rect)
    11531    0.003    0.000    0.003    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\layered_gui_group.py:121(_get_visible)
     3372    0.003    0.000    0.004    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\random.py:239(_randbelow_with_getrandbits)
     1784    0.003    0.000    0.008    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\elements\ui_selection_list.py:165(update)
     1784    0.003    0.000    0.486    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\layered_gui_group.py:265(draw)
    21408    0.003    0.000    0.003    0.000 {built-in method _operator.truth}
    20068    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
      784    0.003    0.000    0.004    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\GameMap.py:93(getSuccessfullAttacks)
     5074    0.003    0.000    0.004    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:187(_parse_version_parts)
      240    0.003    0.000    0.005    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\Dealer.py:50(receiveArmyFromPossessedTerritories)
       64    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
      200    0.002    0.000    0.640    0.003 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\IA.py:48(initiation_attack)
    10080    0.002    0.000    0.002    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\Dealer.py:51(<lambda>)
  209/206    0.002    0.000    0.025    0.000 {built-in method builtins.__build_class__}
      627    0.002    0.000    0.004    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\ntpath.py:180(split)
     1784    0.002    0.000    0.002    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\elements\ui_button.py:229(can_hover)
     7186    0.002    0.000    0.002    0.000 {method 'collidepoint' of 'pygame.Rect' objects}
