Wed Nov 30 03:40:08 2022    output.dat

         3241988 function calls (3236178 primitive calls) in 47.179 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      371    0.001    0.000    0.004    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\GameMap.py:50(moveTroopsBetweenFriendlyTerrirories)
      368    0.000    0.000    0.001    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\Territory.py:47(deallocateTroops)
      362    0.000    0.000    0.001    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\GameMap.py:28(getFriendlyTerritoryNeighbours)
      348    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      344    0.000    0.000    0.000    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:81(groups)
      340    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      339    0.001    0.000    0.002    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\GameMap.py:85(colonize)
      339    0.000    0.000    0.000    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2159(streamline)
      338    0.000    0.000    0.000    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:461(_parse_local_version)
      338    0.001    0.000    0.001    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:474(_cmpkey)
      338    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
      337    0.001    0.000    0.001    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame\sprite.py:429(add)
      336    0.000    0.000    0.000    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\IA.py:122(<lambda>)
      335    0.001    0.000    0.001    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1144(__init__)
      330    0.000    0.000    0.000    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:168(__setitem__)
      326    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
